# Force coefficients
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+01
# lRef          : 2.78600000e+00
# Aref          : 2.15400000e+00
# CofR          : (1.39100000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
264             	-2.23944066e-02	1.60226764e-01	9.44794271e-03	-1.76704353e-02	2.71183780e-02
265             	-2.26975678e-02	1.60325569e-01	1.01812485e-02	-1.76069436e-02	2.77881921e-02
266             	-2.29859362e-02	1.60404354e-01	1.07073030e-02	-1.76322848e-02	2.83395877e-02
267             	-2.32707607e-02	1.60475737e-01	1.10405478e-02	-1.77504868e-02	2.87910346e-02
268             	-2.35537111e-02	1.60542975e-01	1.11869252e-02	-1.79602485e-02	2.91471737e-02
269             	-2.37856238e-02	1.60626951e-01	1.11287827e-02	-1.82212324e-02	2.93500151e-02
270             	-2.39263227e-02	1.60731816e-01	1.08386917e-02	-1.85069769e-02	2.93456686e-02
271             	-2.39376174e-02	1.60893182e-01	1.02708384e-02	-1.88021982e-02	2.90730366e-02
272             	-2.37908488e-02	1.61109849e-01	9.38858248e-03	-1.90965575e-02	2.84851400e-02
273             	-2.34667129e-02	1.61382555e-01	8.15115006e-03	-1.93911379e-02	2.75422880e-02
274             	-2.30192431e-02	1.61719027e-01	6.63165387e-03	-1.97034162e-02	2.63350701e-02
275             	-2.25334439e-02	1.62145371e-01	5.04227054e-03	-2.00123086e-02	2.50545792e-02
276             	-2.20990374e-02	1.62678413e-01	3.60148121e-03	-2.02982968e-02	2.38997780e-02
277             	-2.17603447e-02	1.63338831e-01	2.49256162e-03	-2.05140639e-02	2.30066255e-02
278             	-2.15424580e-02	1.64139490e-01	1.83744064e-03	-2.06237377e-02	2.24611783e-02
279             	-2.14289428e-02	1.65031527e-01	1.72434870e-03	-2.05667685e-02	2.22911172e-02
280             	-2.13907306e-02	1.65956527e-01	2.05082000e-03	-2.03653206e-02	2.24161406e-02
281             	-2.13465091e-02	1.66871283e-01	2.58589327e-03	-2.00535625e-02	2.26394558e-02
282             	-2.12207753e-02	1.67755867e-01	3.00378899e-03	-1.97188808e-02	2.27226698e-02
283             	-2.09424782e-02	1.68581116e-01	3.04828877e-03	-1.94183338e-02	2.24666226e-02
284             	-2.04928992e-02	1.69320259e-01	2.56246519e-03	-1.92116666e-02	2.17741318e-02
285             	-1.98929937e-02	1.69937276e-01	1.62787582e-03	-1.90790558e-02	2.07069316e-02
286             	-1.92127565e-02	1.70429148e-01	3.83023138e-04	-1.90212449e-02	1.94042681e-02
287             	-1.85158717e-02	1.70807989e-01	-9.22431207e-04	-1.89770873e-02	1.80546561e-02
288             	-1.78295547e-02	1.71105179e-01	-2.16571715e-03	-1.89124133e-02	1.67466961e-02
289             	-1.71813414e-02	1.71332186e-01	-3.28587705e-03	-1.88242800e-02	1.55384029e-02
290             	-1.66675648e-02	1.71486124e-01	-4.14080848e-03	-1.87379690e-02	1.45971606e-02
291             	-1.63370521e-02	1.71562047e-01	-4.66534984e-03	-1.86697270e-02	1.40043771e-02
292             	-1.62035342e-02	1.71558266e-01	-4.89246130e-03	-1.86497648e-02	1.37573035e-02
293             	-1.62248219e-02	1.71509091e-01	-4.84236040e-03	-1.86460021e-02	1.38036417e-02
294             	-1.63373352e-02	1.71466292e-01	-4.61590795e-03	-1.86452892e-02	1.40293813e-02
295             	-1.64731088e-02	1.71488248e-01	-4.28728648e-03	-1.86167520e-02	1.43294655e-02
296             	-1.65911092e-02	1.71608923e-01	-3.95978502e-03	-1.85710017e-02	1.46112167e-02
297             	-1.66776074e-02	1.71828515e-01	-3.64053909e-03	-1.84978769e-02	1.48573378e-02
298             	-1.67529703e-02	1.72081397e-01	-3.34073731e-03	-1.84233390e-02	1.50826017e-02
299             	-1.68499135e-02	1.72317085e-01	-3.00851602e-03	-1.83541715e-02	1.53456555e-02
300             	-1.70240318e-02	1.72500616e-01	-2.58317242e-03	-1.83156180e-02	1.57324456e-02
301             	-1.72977364e-02	1.72642897e-01	-2.00512973e-03	-1.83003013e-02	1.62951716e-02
302             	-1.76756271e-02	1.72749109e-01	-1.27414897e-03	-1.83127016e-02	1.70385526e-02
303             	-1.81296302e-02	1.72826433e-01	-4.04234165e-04	-1.83317473e-02	1.79275132e-02
304             	-1.86191097e-02	1.72867318e-01	5.29650383e-04	-1.83542845e-02	1.88839349e-02
305             	-1.91048230e-02	1.72897659e-01	1.49496851e-03	-1.83573387e-02	1.98523072e-02
306             	-1.95706829e-02	1.72939378e-01	2.43658161e-03	-1.83523921e-02	2.07889737e-02
307             	-1.99961039e-02	1.73011624e-01	3.28859555e-03	-1.83518061e-02	2.16404017e-02
308             	-2.03811328e-02	1.73116090e-01	3.97531515e-03	-1.83934753e-02	2.23687904e-02
309             	-2.07403759e-02	1.73260777e-01	4.52181204e-03	-1.84794698e-02	2.30012819e-02
310             	-2.11014084e-02	1.73448032e-01	4.96294708e-03	-1.86199349e-02	2.35828820e-02
311             	-2.14653291e-02	1.73682409e-01	5.34425359e-03	-1.87932024e-02	2.41374559e-02
312             	-2.18076550e-02	1.73946953e-01	5.62548416e-03	-1.89949130e-02	2.46203971e-02
313             	-2.20890009e-02	1.74235411e-01	5.80494779e-03	-1.91865270e-02	2.49914748e-02
314             	-2.22708385e-02	1.74538991e-01	5.84607108e-03	-1.93478029e-02	2.51938740e-02
315             	-2.23420694e-02	1.74866018e-01	5.74441311e-03	-1.94698628e-02	2.52142759e-02
316             	-2.22856971e-02	1.75211773e-01	5.41094429e-03	-1.95802250e-02	2.49911693e-02
317             	-2.20803818e-02	1.75570042e-01	4.77562641e-03	-1.96925685e-02	2.44681950e-02
318             	-2.17327362e-02	1.75902239e-01	3.87530062e-03	-1.97950858e-02	2.36703865e-02
319             	-2.12931489e-02	1.76196216e-01	2.79703991e-03	-1.98946289e-02	2.26916688e-02
320             	-2.08359119e-02	1.76424550e-01	1.75254661e-03	-1.99596386e-02	2.17121853e-02
321             	-2.04441155e-02	1.76593551e-01	9.79394918e-04	-1.99544181e-02	2.09338130e-02
322             	-2.01517206e-02	1.76712489e-01	5.66774795e-04	-1.98683332e-02	2.04351080e-02
323             	-1.99500358e-02	1.76835349e-01	5.64886787e-04	-1.96675924e-02	2.02324792e-02
324             	-1.98334508e-02	1.77011052e-01	9.95288822e-04	-1.93358064e-02	2.03310952e-02
325             	-1.97711313e-02	1.77252979e-01	1.76382707e-03	-1.88892177e-02	2.06530448e-02
326             	-1.97332585e-02	1.77531613e-01	2.75153975e-03	-1.83574886e-02	2.11090284e-02
327             	-1.96749750e-02	1.77803398e-01	3.76205642e-03	-1.77939468e-02	2.15560032e-02
328             	-1.95891422e-02	1.78048553e-01	4.70393904e-03	-1.72371727e-02	2.19411118e-02
329             	-1.94728024e-02	1.78267393e-01	5.54723740e-03	-1.66991837e-02	2.22464211e-02
330             	-1.93333103e-02	1.78434620e-01	6.29628594e-03	-1.61851673e-02	2.24814533e-02
331             	-1.92034440e-02	1.78535958e-01	7.06340415e-03	-1.56717420e-02	2.27351461e-02
332             	-1.91245831e-02	1.78578679e-01	7.99223245e-03	-1.51284669e-02	2.31206993e-02
333             	-1.90934766e-02	1.78602011e-01	9.06169034e-03	-1.45626314e-02	2.36243217e-02
334             	-1.91038101e-02	1.78632740e-01	1.01669781e-02	-1.40203211e-02	2.41872992e-02
335             	-1.91217661e-02	1.78703166e-01	1.11877630e-02	-1.35278846e-02	2.47156476e-02
336             	-1.91068395e-02	1.78795411e-01	1.20030099e-02	-1.31053345e-02	2.51083445e-02
337             	-1.90143026e-02	1.78864983e-01	1.24912650e-02	-1.27686701e-02	2.52599352e-02
338             	-1.88322626e-02	1.78888714e-01	1.26122784e-02	-1.25261234e-02	2.51384018e-02
339             	-1.85506723e-02	1.78873097e-01	1.23585925e-02	-1.23713761e-02	2.47299686e-02
340             	-1.82074156e-02	1.78829020e-01	1.17818986e-02	-1.23164663e-02	2.40983649e-02
341             	-1.78599618e-02	1.78793122e-01	1.09506848e-02	-1.23846194e-02	2.33353042e-02
342             	-1.75591210e-02	1.78814389e-01	9.96664848e-03	-1.25757968e-02	2.25424453e-02
343             	-1.73252912e-02	1.78940398e-01	8.89603967e-03	-1.28772714e-02	2.17733110e-02
344             	-1.71497159e-02	1.79214315e-01	7.76459098e-03	-1.32674204e-02	2.10320114e-02
345             	-1.70027921e-02	1.79595614e-01	6.57028590e-03	-1.37176491e-02	2.02879350e-02
346             	-1.68710473e-02	1.79998682e-01	5.31789132e-03	-1.42121016e-02	1.95299929e-02
347             	-1.67817841e-02	1.80348873e-01	4.10573618e-03	-1.47289160e-02	1.88346522e-02
348             	-1.67902201e-02	1.80605816e-01	3.10010270e-03	-1.52401687e-02	1.83402714e-02
349             	-1.69604083e-02	1.80790035e-01	2.52029100e-03	-1.57002628e-02	1.82205538e-02
350             	-1.73316533e-02	1.80890001e-01	2.50824858e-03	-1.60775290e-02	1.85857776e-02
351             	-1.78866215e-02	1.80894977e-01	3.02551454e-03	-1.63738642e-02	1.93993787e-02
352             	-1.85469715e-02	1.80804079e-01	3.82406481e-03	-1.66349391e-02	2.04590039e-02
353             	-1.92318690e-02	1.80670222e-01	4.67255128e-03	-1.68955933e-02	2.15681446e-02
354             	-1.98850435e-02	1.80547534e-01	5.40453688e-03	-1.71827751e-02	2.25873120e-02
355             	-2.04501615e-02	1.80495226e-01	5.92807607e-03	-1.74861235e-02	2.34141995e-02
356             	-2.08634521e-02	1.80534648e-01	6.16087381e-03	-1.77830152e-02	2.39438890e-02
357             	-2.11218799e-02	1.80653286e-01	6.13467591e-03	-1.80545419e-02	2.41892179e-02
358             	-2.12856675e-02	1.80779812e-01	6.01679716e-03	-1.82772689e-02	2.42940661e-02
359             	-2.14120999e-02	1.80895958e-01	5.98058716e-03	-1.84218063e-02	2.44023935e-02
360             	-2.15143347e-02	1.81031918e-01	6.07040296e-03	-1.84791332e-02	2.45495362e-02
361             	-2.15809946e-02	1.81203127e-01	6.24351420e-03	-1.84592375e-02	2.47027517e-02
362             	-2.15916750e-02	1.81407082e-01	6.39352365e-03	-1.83949131e-02	2.47884368e-02
363             	-2.15344038e-02	1.81619193e-01	6.42717757e-03	-1.83208150e-02	2.47479926e-02
364             	-2.13948457e-02	1.81810142e-01	6.28345274e-03	-1.82531193e-02	2.45365720e-02
365             	-2.11661485e-02	1.81958290e-01	5.94533943e-03	-1.81934788e-02	2.41388182e-02
366             	-2.08738693e-02	1.82032094e-01	5.44144417e-03	-1.81531472e-02	2.35945914e-02
367             	-2.05720775e-02	1.82020798e-01	4.94289143e-03	-1.81006318e-02	2.30435232e-02
368             	-2.03084654e-02	1.81929102e-01	4.62080657e-03	-1.79980621e-02	2.26188686e-02
369             	-2.01244752e-02	1.81732576e-01	4.65081140e-03	-1.77990695e-02	2.24498809e-02
370             	-2.00186507e-02	1.81425789e-01	5.07404600e-03	-1.74816277e-02	2.25556737e-02
371             	-1.99856804e-02	1.81027073e-01	5.85266530e-03	-1.70593478e-02	2.29120131e-02
372             	-1.99774298e-02	1.80645794e-01	6.78893815e-03	-1.65829607e-02	2.33718989e-02
373             	-1.99656022e-02	1.80293379e-01	7.75135007e-03	-1.60899272e-02	2.38412773e-02
374             	-1.99435104e-02	1.79935055e-01	8.64399008e-03	-1.56215153e-02	2.42655054e-02
375             	-1.99195189e-02	1.79582726e-01	9.43195400e-03	-1.52035419e-02	2.46354959e-02
376             	-1.99239946e-02	1.79258633e-01	1.01126810e-02	-1.48676540e-02	2.49803351e-02
377             	-1.99279663e-02	1.79059337e-01	1.05729205e-02	-1.46415061e-02	2.52144266e-02
378             	-1.99003261e-02	1.79037545e-01	1.07383163e-02	-1.45311679e-02	2.52694843e-02
379             	-1.98167574e-02	1.79213889e-01	1.05495265e-02	-1.45419942e-02	2.50915206e-02
380             	-1.96721044e-02	1.79546620e-01	9.95105958e-03	-1.46965746e-02	2.46476342e-02
381             	-1.94670104e-02	1.79981841e-01	8.99119776e-03	-1.49714115e-02	2.39626092e-02
382             	-1.92055742e-02	1.80462006e-01	7.75655070e-03	-1.53272989e-02	2.30838496e-02
383             	-1.89220618e-02	1.80950928e-01	6.35774858e-03	-1.57431875e-02	2.21009361e-02
384             	-1.86801149e-02	1.81418642e-01	4.94814947e-03	-1.62060401e-02	2.11541896e-02
385             	-1.85446677e-02	1.81872353e-01	3.68387342e-03	-1.67027310e-02	2.03866044e-02
386             	-1.85615305e-02	1.82299560e-01	2.69160586e-03	-1.72157276e-02	1.99073335e-02
387             	-1.87483175e-02	1.82640030e-01	2.03151702e-03	-1.77325590e-02	1.97640760e-02
388             	-1.90910466e-02	1.82792897e-01	1.71542637e-03	-1.82333334e-02	1.99487598e-02
389             	-1.95466450e-02	1.82694645e-01	1.72881437e-03	-1.86822378e-02	2.04110522e-02
390             	-2.00540248e-02	1.82340504e-01	2.01577250e-03	-1.90461385e-02	2.10619110e-02
391             	-2.05444009e-02	1.81822753e-01	2.44224873e-03	-1.93232766e-02	2.17655253e-02
392             	-2.09699688e-02	1.81286352e-01	2.90229709e-03	-1.95188203e-02	2.24211174e-02
393             	-2.13049383e-02	1.80860508e-01	3.27835468e-03	-1.96657609e-02	2.29441156e-02
394             	-2.15292060e-02	1.80564247e-01	3.41998235e-03	-1.98192148e-02	2.32391971e-02
395             	-2.16431713e-02	1.80389335e-01	3.25229891e-03	-2.00170219e-02	2.32693208e-02
396             	-2.16612345e-02	1.80329048e-01	2.81327449e-03	-2.02545973e-02	2.30678718e-02
397             	-2.16090252e-02	1.80408588e-01	2.22465745e-03	-2.04966965e-02	2.27213539e-02
398             	-2.15393486e-02	1.80584045e-01	1.78641185e-03	-2.06461427e-02	2.24325546e-02
399             	-2.15121521e-02	1.80776167e-01	1.84317247e-03	-2.05905658e-02	2.24337383e-02
400             	-2.15679920e-02	1.80878906e-01	2.61809660e-03	-2.02589437e-02	2.28770403e-02
401             	-2.16990276e-02	1.80869510e-01	4.07166517e-03	-1.96631950e-02	2.37348602e-02
402             	-2.18764327e-02	1.80775841e-01	5.95299561e-03	-1.88999349e-02	2.48529305e-02
403             	-2.20392650e-02	1.80675413e-01	7.82986353e-03	-1.81243333e-02	2.59541968e-02
404             	-2.21105637e-02	1.80634159e-01	9.36194881e-03	-1.74295893e-02	2.67915381e-02
405             	-2.20192907e-02	1.80680623e-01	1.03761337e-02	-1.68312238e-02	2.72073575e-02
406             	-2.17220889e-02	1.80788505e-01	1.08716371e-02	-1.62862703e-02	2.71579075e-02
407             	-2.12309093e-02	1.80934829e-01	1.09361953e-02	-1.57628116e-02	2.66990069e-02
408             	-2.05929904e-02	1.81048499e-01	1.06407649e-02	-1.52726080e-02	2.59133729e-02
409             	-1.98712471e-02	1.81089365e-01	1.00140422e-02	-1.48642260e-02	2.48782682e-02
410             	-1.91361156e-02	1.81052725e-01	9.13300887e-03	-1.45696112e-02	2.37026201e-02
411             	-1.84463818e-02	1.80964994e-01	8.14478818e-03	-1.43739877e-02	2.25187759e-02
412             	-1.78077672e-02	1.80866825e-01	7.14988959e-03	-1.42328224e-02	2.13827120e-02
413             	-1.72455599e-02	1.80788800e-01	6.25339175e-03	-1.41188640e-02	2.03722557e-02
414             	-1.67920287e-02	1.80735279e-01	5.54975919e-03	-1.40171491e-02	1.95669083e-02
415             	-1.64770629e-02	1.80734169e-01	5.08863129e-03	-1.39327473e-02	1.90213785e-02
416             	-1.63191938e-02	1.80761648e-01	4.87550043e-03	-1.38814436e-02	1.87569441e-02
417             	-1.63095854e-02	1.80817385e-01	4.81283878e-03	-1.39031660e-02	1.87160048e-02
418             	-1.64236216e-02	1.80888776e-01	4.75979684e-03	-1.40437232e-02	1.88035200e-02
419             	-1.66344774e-02	1.81004730e-01	4.65030685e-03	-1.43093239e-02	1.89596308e-02
420             	-1.69174175e-02	1.81174103e-01	4.51513758e-03	-1.46598487e-02	1.91749863e-02
421             	-1.72817610e-02	1.81436435e-01	4.42019835e-03	-1.50716618e-02	1.94918602e-02
422             	-1.77428656e-02	1.81773705e-01	4.41662075e-03	-1.55345553e-02	1.99511760e-02
423             	-1.82794245e-02	1.82125740e-01	4.46987538e-03	-1.60444868e-02	2.05143622e-02
424             	-1.88331250e-02	1.82397902e-01	4.46476430e-03	-1.66007429e-02	2.10655072e-02
425             	-1.93459495e-02	1.82529401e-01	4.31247530e-03	-1.71897119e-02	2.15021872e-02
426             	-1.97708532e-02	1.82493352e-01	3.93401526e-03	-1.78038456e-02	2.17378609e-02
427             	-2.00651316e-02	1.82311187e-01	3.30421799e-03	-1.84130226e-02	2.17172406e-02
428             	-2.02154035e-02	1.82015919e-01	2.51385699e-03	-1.89584750e-02	2.14723320e-02
429             	-2.02289393e-02	1.81723275e-01	1.72202164e-03	-1.93679285e-02	2.10899501e-02
430             	-2.01407304e-02	1.81517140e-01	1.09929344e-03	-1.95910837e-02	2.06903772e-02
431             	-1.99923949e-02	1.81457305e-01	7.11770953e-04	-1.96365094e-02	2.03482803e-02
432             	-1.98280483e-02	1.81534530e-01	5.63971544e-04	-1.95460626e-02	2.01100341e-02
433             	-1.96572728e-02	1.81692349e-01	6.16315771e-04	-1.93491149e-02	1.99654307e-02
434             	-1.94766354e-02	1.81850438e-01	7.87462441e-04	-1.90829041e-02	1.98703666e-02
435             	-1.92823344e-02	1.81983806e-01	1.01945127e-03	-1.87726087e-02	1.97920600e-02
436             	-1.90557873e-02	1.82080981e-01	1.27253152e-03	-1.84195215e-02	1.96920530e-02
437             	-1.87804414e-02	1.82167248e-01	1.53417561e-03	-1.80133536e-02	1.95475292e-02
438             	-1.84532185e-02	1.82262113e-01	1.77659356e-03	-1.75649217e-02	1.93415153e-02
439             	-1.80811858e-02	1.82369871e-01	1.92220136e-03	-1.71200851e-02	1.90422865e-02
440             	-1.76684987e-02	1.82439872e-01	1.88853005e-03	-1.67242337e-02	1.86127638e-02
441             	-1.72398181e-02	1.82423836e-01	1.67160298e-03	-1.64040166e-02	1.80756196e-02
442             	-1.68453362e-02	1.82287890e-01	1.31652901e-03	-1.61870717e-02	1.75036007e-02
443             	-1.65178096e-02	1.82054006e-01	8.69481355e-04	-1.60830689e-02	1.69525503e-02
444             	-1.62756628e-02	1.81748332e-01	3.80923049e-04	-1.60852013e-02	1.64661243e-02
445             	-1.61251105e-02	1.81409533e-01	-1.01640824e-04	-1.61759309e-02	1.60742901e-02
446             	-1.60502427e-02	1.81052811e-01	-5.55389724e-04	-1.63279376e-02	1.57725479e-02
447             	-1.60473980e-02	1.80713631e-01	-9.33497192e-04	-1.65141465e-02	1.55806494e-02
448             	-1.61062152e-02	1.80442145e-01	-1.27878565e-03	-1.67456080e-02	1.54668224e-02
449             	-1.62080522e-02	1.80251543e-01	-1.64004544e-03	-1.70280750e-02	1.53880295e-02
450             	-1.63346225e-02	1.80143864e-01	-2.09314945e-03	-1.73811973e-02	1.52880478e-02
451             	-1.64670459e-02	1.80132196e-01	-2.72184153e-03	-1.78279667e-02	1.51061252e-02
452             	-1.66022241e-02	1.80199234e-01	-3.54607605e-03	-1.83752621e-02	1.48291861e-02
453             	-1.67439914e-02	1.80351119e-01	-4.44889737e-03	-1.89684401e-02	1.45195427e-02
454             	-1.69299906e-02	1.80595300e-01	-5.22992778e-03	-1.95449545e-02	1.43150267e-02
455             	-1.72059130e-02	1.80968663e-01	-5.71899199e-03	-2.00654090e-02	1.43464170e-02
456             	-1.75774619e-02	1.81454041e-01	-5.77515703e-03	-2.04650404e-02	1.46898834e-02
457             	-1.80219053e-02	1.82003855e-01	-5.35424126e-03	-2.06990259e-02	1.53447847e-02
458             	-1.85041983e-02	1.82558360e-01	-4.47765186e-03	-2.07430242e-02	1.62653724e-02
459             	-1.90103794e-02	1.83071237e-01	-3.19752160e-03	-2.06091402e-02	1.74116186e-02
460             	-1.95220740e-02	1.83497616e-01	-1.61259079e-03	-2.03283694e-02	1.87157786e-02
461             	-1.99728118e-02	1.83827127e-01	8.50860349e-05	-1.99302688e-02	2.00153548e-02
462             	-2.03195395e-02	1.84047708e-01	1.79018507e-03	-1.94244470e-02	2.12146320e-02
463             	-2.05224427e-02	1.84174210e-01	3.36951599e-03	-1.88376847e-02	2.22072006e-02
464             	-2.05617810e-02	1.84208596e-01	4.72642014e-03	-1.81985709e-02	2.29249910e-02
465             	-2.04185585e-02	1.84228135e-01	5.81384798e-03	-1.75116345e-02	2.33254825e-02
466             	-2.01068155e-02	1.84283715e-01	6.61562272e-03	-1.67990041e-02	2.34146269e-02
467             	-1.96350004e-02	1.84399035e-01	7.15276756e-03	-1.60586166e-02	2.32113841e-02
468             	-1.90154553e-02	1.84574255e-01	7.40983291e-03	-1.53105389e-02	2.27203718e-02
469             	-1.82984388e-02	1.84816506e-01	7.36937531e-03	-1.46137511e-02	2.19831264e-02
470             	-1.75267583e-02	1.85121820e-01	7.06644608e-03	-1.39935353e-02	2.10599814e-02
471             	-1.67424429e-02	1.85505219e-01	6.58723607e-03	-1.34488248e-02	2.00360609e-02
472             	-1.59712620e-02	1.85954096e-01	5.98844811e-03	-1.29770380e-02	1.89654861e-02
473             	-1.52211279e-02	1.86477757e-01	5.28187711e-03	-1.25801894e-02	1.78620665e-02
474             	-1.44925396e-02	1.87035865e-01	4.45116994e-03	-1.22669546e-02	1.67181245e-02
475             	-1.38265687e-02	1.87545092e-01	3.56224339e-03	-1.20454470e-02	1.56076904e-02
476             	-1.32781101e-02	1.87892245e-01	2.70745638e-03	-1.19243819e-02	1.46318383e-02
477             	-1.28811662e-02	1.88025576e-01	1.91630758e-03	-1.19230124e-02	1.38393200e-02
478             	-1.26562702e-02	1.87935675e-01	1.20185214e-03	-1.20553441e-02	1.32571963e-02
479             	-1.25974246e-02	1.87661556e-01	6.11084286e-04	-1.22918825e-02	1.29029668e-02
480             	-1.26749882e-02	1.87251882e-01	1.24003847e-04	-1.26129862e-02	1.27369901e-02
481             	-1.28561346e-02	1.86749688e-01	-2.78633227e-04	-1.29954512e-02	1.27168180e-02
482             	-1.31323779e-02	1.86153902e-01	-5.91492197e-04	-1.34281240e-02	1.28366318e-02
483             	-1.34921342e-02	1.85517521e-01	-7.99849136e-04	-1.38920587e-02	1.30922096e-02
484             	-1.39394342e-02	1.84953864e-01	-8.90547182e-04	-1.43847078e-02	1.34941606e-02
485             	-1.44599887e-02	1.84583502e-01	-8.70935029e-04	-1.48954563e-02	1.40245212e-02
486             	-1.50348013e-02	1.84423385e-01	-7.38002523e-04	-1.54038026e-02	1.46658000e-02
487             	-1.56526529e-02	1.84431322e-01	-5.41673216e-04	-1.59234895e-02	1.53818163e-02
488             	-1.62927242e-02	1.84514365e-01	-3.43775333e-04	-1.64646119e-02	1.61208366e-02
489             	-1.69379364e-02	1.84612244e-01	-1.73870544e-04	-1.70248717e-02	1.68510011e-02
490             	-1.75592377e-02	1.84692447e-01	-4.90043685e-05	-1.75837399e-02	1.75347355e-02
491             	-1.81320313e-02	1.84737714e-01	4.19767560e-07	-1.81318214e-02	1.81322412e-02
492             	-1.86334253e-02	1.84722658e-01	-6.16654789e-05	-1.86642581e-02	1.86025926e-02
493             	-1.90439398e-02	1.84655104e-01	-2.83354111e-04	-1.91856168e-02	1.89022627e-02
494             	-1.93344470e-02	1.84509401e-01	-7.00141159e-04	-1.96845175e-02	1.89843764e-02
495             	-1.94852101e-02	1.84278948e-01	-1.26682250e-03	-2.01186213e-02	1.88517988e-02
496             	-1.95097226e-02	1.83970151e-01	-1.90875417e-03	-2.04640997e-02	1.85553455e-02
497             	-1.94342841e-02	1.83603028e-01	-2.56869941e-03	-2.07186338e-02	1.81499344e-02
498             	-1.92962713e-02	1.83206846e-01	-3.14036241e-03	-2.08664525e-02	1.77260901e-02
499             	-1.91281305e-02	1.82796958e-01	-3.53626495e-03	-2.08962630e-02	1.73599980e-02
500             	-1.89511691e-02	1.82409884e-01	-3.68905541e-03	-2.07956969e-02	1.71066414e-02
501             	-1.87927960e-02	1.82117812e-01	-3.49044191e-03	-2.05380169e-02	1.70475750e-02
502             	-1.85998112e-02	1.81977861e-01	-2.98080109e-03	-2.00902118e-02	1.71094107e-02
503             	-1.82369999e-02	1.82017188e-01	-2.42456184e-03	-1.94492808e-02	1.70247190e-02
504             	-1.76434991e-02	1.82199784e-01	-2.05700862e-03	-1.86720034e-02	1.66149948e-02
505             	-1.68771029e-02	1.82478774e-01	-2.01091340e-03	-1.78825596e-02	1.58716462e-02
506             	-1.60199902e-02	1.82837876e-01	-2.34726486e-03	-1.71936227e-02	1.48463578e-02
507             	-1.52054465e-02	1.83262311e-01	-2.93915516e-03	-1.66750241e-02	1.37358690e-02
508             	-1.44975828e-02	1.83726276e-01	-3.63300001e-03	-1.63140828e-02	1.26810828e-02
509             	-1.39759585e-02	1.84191653e-01	-4.18231498e-03	-1.60671160e-02	1.18848010e-02
510             	-1.36936183e-02	1.84561273e-01	-4.38522421e-03	-1.58862304e-02	1.15010062e-02
511             	-1.36125042e-02	1.84796767e-01	-4.21013879e-03	-1.57175736e-02	1.15074348e-02
512             	-1.36701221e-02	1.84861383e-01	-3.71701443e-03	-1.55286293e-02	1.18116149e-02
513             	-1.38123531e-02	1.84746689e-01	-2.97671111e-03	-1.53007087e-02	1.23239976e-02
514             	-1.40253404e-02	1.84454273e-01	-2.01621450e-03	-1.50334477e-02	1.30172332e-02
515             	-1.43280909e-02	1.84020203e-01	-8.68825618e-04	-1.47625037e-02	1.38936781e-02
516             	-1.47422681e-02	1.83482359e-01	3.87521895e-04	-1.45485071e-02	1.49360290e-02
517             	-1.52824440e-02	1.82879255e-01	1.66767800e-03	-1.44486050e-02	1.61162830e-02
518             	-1.59421270e-02	1.82251279e-01	2.83245894e-03	-1.45258975e-02	1.73583564e-02
519             	-1.66752780e-02	1.81706260e-01	3.72072440e-03	-1.48149158e-02	1.85356402e-02
520             	-1.74627980e-02	1.81327199e-01	4.24773128e-03	-1.53389324e-02	1.95866637e-02
521             	-1.82308110e-02	1.81179630e-01	4.34928367e-03	-1.60561692e-02	2.04054528e-02
522             	-1.89109049e-02	1.81252478e-01	4.10221277e-03	-1.68597986e-02	2.09620113e-02
523             	-1.95094944e-02	1.81502393e-01	3.68245445e-03	-1.76682671e-02	2.13507216e-02
524             	-2.00526172e-02	1.81867119e-01	3.27062684e-03	-1.84173038e-02	2.16879307e-02
525             	-2.05518116e-02	1.82299498e-01	3.02548760e-03	-1.90390678e-02	2.20645554e-02
526             	-2.10110675e-02	1.82765483e-01	3.03264908e-03	-1.94947430e-02	2.25273921e-02
527             	-2.14289582e-02	1.83253720e-01	3.38986304e-03	-1.97340267e-02	2.31238897e-02
528             	-2.17782083e-02	1.83732024e-01	4.07212231e-03	-1.97421472e-02	2.38142695e-02
529             	-2.20211611e-02	1.84186659e-01	4.95826107e-03	-1.95420305e-02	2.45002916e-02
530             	-2.21062435e-02	1.84609286e-01	5.87632079e-03	-1.91680831e-02	2.50444039e-02
531             	-2.20195142e-02	1.85007198e-01	6.73185767e-03	-1.86535854e-02	2.53854431e-02
532             	-2.17184340e-02	1.85339924e-01	7.39525616e-03	-1.80208060e-02	2.54160621e-02
533             	-2.11828588e-02	1.85602803e-01	7.81721326e-03	-1.72742521e-02	2.50914654e-02
534             	-2.04592524e-02	1.85779659e-01	8.01400952e-03	-1.64522476e-02	2.44662572e-02
535             	-1.96229457e-02	1.85865323e-01	8.06561376e-03	-1.55901389e-02	2.36557526e-02
536             	-1.87297733e-02	1.85838334e-01	8.02094413e-03	-1.47193013e-02	2.27402454e-02
